"PMID","AuthorN","AuthorForename","AuthorLastname","AuthorInitials","AuthorAffiliation"
25471173,2,"A","Fernández de Sevilla","A",""
25471173,3,"A","Domingo","A",""
25471173,4,"E","De La Banda","E",""
25471173,5,"E","Domingo-Domènech","E",""
25471173,6,"S","Mercadal","S",""
25471173,7,"N","Ruiz-Xivillé","N",""
25471173,8,"E","Alonso","E",""
25471173,9,"M","Encuentra","M",""
25471173,10,"E","González-Barca","E",""
25473950,1,"Chiara","Romani","C","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,2,"Stefano","Calza","S","Department of Molecular and Translational Medicine, University of Brescia, Brescia, Italy; Department of Medical Epidemiology and Biostatistics, Karolinska Institutet, Stockholm, Sweden."
25473950,3,"Paola","Todeschini","P","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,4,"Renata A","Tassi","RA","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,5,"Laura","Zanotti","L","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,6,"Elisabetta","Bandiera","E","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,7,"Enrico","Sartori","E","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,8,"Sergio","Pecorelli","S","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,9,"Antonella","Ravaggi","A","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25473950,10,"Alessandro D","Santin","AD","Department of Obstetrics, Gynecology & Reproductive Sciences, Yale University School of Medicine, New Haven, Connecticut, United States of America."
25473950,11,"Eliana","Bignotti","E","""Angelo Nocivelli"" Institute of Molecular Medicine, Division of Gynecologic Oncology, University of Brescia, Brescia, Italy."
25474153,1,"John P","Grady","JP","Wellcome Trust Centre for Mitochondrial Research, Institute of Neuroscience, Newcastle University, Newcastle upon Tyne, United Kingdom."
25474153,2,"Julie L","Murphy","JL","Wellcome Trust Centre for Mitochondrial Research, Institute of Neuroscience, Newcastle University, Newcastle upon Tyne, United Kingdom."
25474153,3,"Emma L","Blakely","EL","Wellcome Trust Centre for Mitochondrial Research, Institute of Neuroscience, Newcastle University, Newcastle upon Tyne, United Kingdom."
25474153,4,"Ronald G","Haller","RG","Department of Neurology, University of Texas Southwestern Medical Center and VA North Texas Medical Center, and Neuromuscular Center, Institute for Exercise and Environmental Medicine, Dallas, Texas, United States of America."
25474153,5,"Robert W","Taylor","RW","Wellcome Trust Centre for Mitochondrial Research, Institute of Neuroscience, Newcastle University, Newcastle upon Tyne, United Kingdom."
25474153,6,"Doug M","Turnbull","DM","Wellcome Trust Centre for Mitochondrial Research, Institute of Neuroscience, Newcastle University, Newcastle upon Tyne, United Kingdom."
25474153,7,"Helen A L","Tuppen","HA","Wellcome Trust Centre for Mitochondrial Research, Institute of Neuroscience, Newcastle University, Newcastle upon Tyne, United Kingdom."
25488972,1,"Jonathan","Reichel","J","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY; Tri-Institutional Training Program in Computational Biology and Medicine, New York, NY;"
25488972,2,"Amy","Chadburn","A","Department of Pathology, Feinberg School of Medicine, Northwestern University, Chicago, IL;"
25488972,3,"Paul G","Rubinstein","PG","John H. Stroger Jr Hospital of Cook County, Rush University Medical Center, Ruth M. Rothstein CORE Center, Chicago, IL;"
25488972,4,"Lisa","Giulino-Roth","L","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY; Department of Pediatrics, Weill Cornell Medical College, New York, NY;"
25488972,5,"Wayne","Tam","W","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY;"
25488972,6,"Yifang","Liu","Y","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY;"
25488972,7,"Rafael","Gaiolla","R","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY; Botucatu School of Medicine, Sao Paulo State University, Botucatu, Brazil;"
25488972,8,"Kenneth","Eng","K","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY;"
25488972,9,"Joshua","Brody","J","Icahn School of Medicine at Mount Sinai, New York, NY;"
25488972,10,"Giorgio","Inghirami","G","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY;"
25488972,11,"Carmelo","Carlo-Stella","C","Humanitas Cancer Center, Humanitas Clinical and Research Center, Rozzano (Milan), Italy; School of Medicine, University of Milan, Milan, Italy; and."
25488972,12,"Armando","Santoro","A","Humanitas Cancer Center, Humanitas Clinical and Research Center, Rozzano (Milan), Italy;"
25488972,13,"Daoud","Rahal","D","Humanitas Cancer Center, Humanitas Clinical and Research Center, Rozzano (Milan), Italy;"
25488972,14,"Jennifer","Totonchy","J","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY;"
25488972,15,"Olivier","Elemento","O","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY; Institute for Computational Biomedicine, Weill Cornell Medical College, New York, NY."
25488972,16,"Ethel","Cesarman","E","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY;"
25488972,17,"Mikhail","Roshal","M","Department of Pathology and Laboratory Medicine, Weill Cornell Medical College, New York, NY;"
25517457,1,"Miguel","Calero-Garcia","M","Infection, Immunity, Inflammation and Physiological Medicine Programme, Molecular and Cellular Immunology Section, UCL Institute of Child Health, 30 Guilford Street, London WC1N 1EH, UK."
25517457,2,"H Bobby","Gaspar","HB","Infection, Immunity, Inflammation and Physiological Medicine Programme, Molecular and Cellular Immunology Section, UCL Institute of Child Health, 30 Guilford Street, London WC1N 1EH, UK. Electronic address: h.gaspar@ucl.ac.uk."
25517468,1,"Pankaj K","Mandal","PK","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA; Program in Cellular and Molecular Medicine, Division of Hematology/Oncology, Boston Children's Hospital, Boston, MA 02116, USA."
25517468,2,"Leonardo M R","Ferreira","LM","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA; Department of Molecular and Cellular Biology, Harvard University, Cambridge, MA 02138, USA."
25517468,3,"Ryan","Collins","R","Molecular Neurogenetics Unit, Psychiatric and Neurodevelopmental Genetics Unit, Center for Human Genetic Research, Massachusetts General Hospital, Boston, MA 02114, USA."
25517468,4,"Torsten B","Meissner","TB","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA."
25517468,5,"Christian L","Boutwell","CL","Ragon Institute of MGH, MIT and Harvard, Cambridge, MA 02139, USA."
25517468,6,"Max","Friesen","M","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA."
25517468,7,"Vladimir","Vrbanac","V","Ragon Institute of MGH, MIT and Harvard, Cambridge, MA 02139, USA; Center for Immunology and Inflammatory Diseases, Massachusetts General Hospital and Harvard Medical School, Charlestown, MA 02129, USA."
25517468,8,"Brian S","Garrison","BS","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA; Program in Cellular and Molecular Medicine, Division of Hematology/Oncology, Boston Children's Hospital, Boston, MA 02116, USA; Department of Pediatrics, Harvard Medical School, Boston, MA 02115, USA."
25517468,9,"Alexei","Stortchevoi","A","Molecular Neurogenetics Unit, Psychiatric and Neurodevelopmental Genetics Unit, Center for Human Genetic Research, Massachusetts General Hospital, Boston, MA 02114, USA."
25517468,10,"David","Bryder","D","Institution for Experimental Medical Research, Immunology section, Lund University, 221 84, Lund, Sweden."
25517468,11,"Kiran","Musunuru","K","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA; Harvard Stem Cell Institute, Cambridge, MA 02138, USA; Division of Cardiovascular Medicine, Brigham and Women's Hospital, Boston, MA 02115, USA; Broad Institute, Cambridge, MA 02142, USA."
25517468,12,"Harrison","Brand","H","Molecular Neurogenetics Unit, Psychiatric and Neurodevelopmental Genetics Unit, Center for Human Genetic Research, Massachusetts General Hospital, Boston, MA 02114, USA."
25517468,13,"Andrew M","Tager","AM","Ragon Institute of MGH, MIT and Harvard, Cambridge, MA 02139, USA; Center for Immunology and Inflammatory Diseases, Massachusetts General Hospital and Harvard Medical School, Charlestown, MA 02129, USA."
25517468,14,"Todd M","Allen","TM","Ragon Institute of MGH, MIT and Harvard, Cambridge, MA 02139, USA."
25517468,15,"Michael E","Talkowski","ME","Molecular Neurogenetics Unit, Psychiatric and Neurodevelopmental Genetics Unit, Center for Human Genetic Research, Massachusetts General Hospital, Boston, MA 02114, USA; Broad Institute, Cambridge, MA 02142, USA; Department of Neurology, Harvard Medical School, Boston, MA 02115, USA."
25517468,16,"Derrick J","Rossi","DJ","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA; Program in Cellular and Molecular Medicine, Division of Hematology/Oncology, Boston Children's Hospital, Boston, MA 02116, USA; Department of Pediatrics, Harvard Medical School, Boston, MA 02115, USA; Harvard Stem Cell Institute, Cambridge, MA 02138, USA. Electronic address: derrick.rossi@childrens.harvard.edu."
25517468,17,"Chad A","Cowan","CA","Department of Stem Cell and Regenerative Biology, Harvard University, Cambridge, MA 02138, USA; Harvard Stem Cell Institute, Cambridge, MA 02138, USA; Broad Institute, Cambridge, MA 02142, USA; Center for Regenerative Medicine, Massachusetts General Hospital, Boston, MA 02114, USA. Electronic address: chad_cowan@harvard.edu."
25550045,1,"Sang-Je","Park","SJ","National Primate Research Center, Korea Research Institute of Bioscience and Biotechnology, Chungbuk 363-883, Republic of Korea. Electronic address: sjpark@gntech.ac.kr."
25550045,2,"Seul Gi","Kwon","SG","Swine Science and Technology Center, Gyeongnam National University of Science and Technology, Jinju 660-758, Republic of Korea."
25550045,3,"Jung Hye","Hwang","JH","Swine Science and Technology Center, Gyeongnam National University of Science and Technology, Jinju 660-758, Republic of Korea."
25550045,4,"Da Hye","Park","DH","Swine Science and Technology Center, Gyeongnam National University of Science and Technology, Jinju 660-758, Republic of Korea."
25550045,5,"Tae Wan","Kim","TW","Swine Science and Technology Center, Gyeongnam National University of Science and Technology, Jinju 660-758, Republic of Korea."
25550045,6,"Chul Wook","Kim","CW","Swine Science and Technology Center, Gyeongnam National University of Science and Technology, Jinju 660-758, Republic of Korea. Electronic address: cwkim@gntech.ac.kr."
25573171,1,"Hassan","Ali","H","Department of Central Laboratory, Second Hospital, Jilin University, Changchun, Jilin 130041, P.R. China."
25573171,2,"Zhenwu","Du","Z","Department of Central Laboratory, Second Hospital, Jilin University, Changchun, Jilin 130041, P.R. China."
25573171,3,"Xiuying","Li","X","Department of Central Research, China‑Japan Hospital, Jilin University, Changchun, Jilin 130033, P.R. China."
25573171,4,"Qiwei","Yang","Q","Department of Central Research, China‑Japan Hospital, Jilin University, Changchun, Jilin 130033, P.R. China."
25573171,5,"Yu Cheng","Zhang","YC","Department of Central Research, China‑Japan Hospital, Jilin University, Changchun, Jilin 130033, P.R. China."
25573171,6,"Mei","Wu","M","Department of Central Research, China‑Japan Hospital, Jilin University, Changchun, Jilin 130033, P.R. China."
25573171,7,"Yi","Li","Y","Department of Immunology, Norman Bethune College of Medicine, Jilin University, Changchun, Jilin 130021, P.R. China."
25573171,8,"Guizhen","Zhang","G","Department of Central Laboratory, Second Hospital, Jilin University, Changchun, Jilin 130041, P.R. China."
25584151,1,"Jung-Min","Le","JM","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea ; Department of Biomedical Laboratory Science, Namseoul University, Chungcheongnam-do, Korea."
25584151,2,"Young-Hwan","Han","YH","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,3,"Su-Jeong","Choi","SJ","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,4,"Ju-Seong","Park","JS","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,5,"Jeong-Jun","Jang","JJ","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,6,"Re-Ji-Na","Bae","RJ","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,7,"Mi Ju","Lee","MJ","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,8,"Myoung Jun","Kim","MJ","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,9,"Yong-Hoon","Lee","YH","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,10,"Duyeol","Kim","D","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,11,"Hye-Young","Lee","HY","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,12,"Sun-Hee","Park","SH","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,13,"Cheol-Beom","Park","CB","Pathology Department, Biotoxtech Co., Ltd., Chungcheongbuk-do, Korea."
25584151,14,"Jin Seok","Kang","JS","Department of Biomedical Laboratory Science, Namseoul University, Chungcheongnam-do, Korea."
25584151,15,"Jong-Koo","Kang","JK","Laboratory Animal Medicine, College of Veterinary Medicine, Chungbuk National University, Chungcheongbuk-do, Korea."
25586345,1,"Farzad","Maroofi","F","Department of Biochemistry, College of Science, Kurdistan Science and Research Branch, Islamic Azad University, Sanandaj, Iran."
25586345,2,"Sabrieh","Amini","S",""
25586345,3,"Daem","Roshani","D",""
25586345,4,"Bayazid","Ghaderi","B",""
25586345,5,"Mohammad","Abdi","M",""
25594174,1,"Michael S","Rooney","MS","The Broad Institute, Cambridge, MA 02142, USA; Harvard/MIT Division of Health Sciences and Technology, Cambridge, MA 02141, USA."
25594174,2,"Sachet A","Shukla","SA","The Broad Institute, Cambridge, MA 02142, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA 02115, USA."
25594174,3,"Catherine J","Wu","CJ","The Broad Institute, Cambridge, MA 02142, USA; Department of Medical Oncology, Dana-Farber Cancer Institute, Boston, MA 02115, USA; Department of Medicine, Harvard Medical School, Boston, MA 02115, USA."
25594174,4,"Gad","Getz","G","The Broad Institute, Cambridge, MA 02142, USA; Massachusetts General Hospital Cancer Center and Department of Pathology, Charlestown, MA 02129, USA."
25594174,5,"Nir","Hacohen","N","The Broad Institute, Cambridge, MA 02142, USA; Department of Medicine, Harvard Medical School, Boston, MA 02115, USA; Center for Immunology and Inflammatory Diseases and Department of Medicine, Massachusetts General Hospital, Charlestown, MA 02129, USA. Electronic address: nhacohen@mgh.harvard.edu."
25600397,1,"C","Haas","C","Institut für Rechtsmedizin, Universität Zürich, Switzerland. Electronic address: cordula.haas@irm.uzh.ch."
25600397,2,"E","Hanson","E","National Center for Forensic Science, University of Central Florida, Orlando, USA."
25600397,3,"R","Banemann","R","Bundeskriminalamt, Wiesbaden, Germany."
25600397,4,"A M","Bento","AM","Forensic Genetic and Biology Service, National Institute of Legal Medicine and Forensic Sciences, Coimbra, Portugal."
25600397,5,"A","Berti","A","Carabinieri Scientific Department of Rome, Genetic Unit, Italy."
25600397,6,"Á","Carracedo","Á","Genomic Medicine Group, Unit of Forensic Genetics, Institute of Forensic Science, University of Santiago de Compostela, Spain; Center of Excellence in Genomic Medicine Research, King Abdulaziz University, Jeddah, Saudi Arabia."
25600397,7,"C","Courts","C","Institute of Legal Medicine, University of Bonn, Germany."
25600397,8,"G De","Cock","G","National Institute for Criminalistics and Criminology, Brussels, Belgium."
25600397,9,"K","Drobnic","K","National Forensic Laboratory, Ljubljana, Slovenia."
25600397,10,"R","Fleming","R","Institute of Environmental Science and Research Ltd., Auckland, New Zealand."
25600397,11,"C","Franchi","C","Carabinieri Scientific Department of Rome, Genetic Unit, Italy."
25600397,12,"I","Gomes","I","Institute of Legal Medicine, Faculty of Medicine, University of Cologne, Germany."
25600397,13,"G","Hadzic","G","National Forensic Laboratory, Ljubljana, Slovenia."
25600397,14,"S A","Harbison","SA","Institute of Environmental Science and Research Ltd., Auckland, New Zealand."
25600397,15,"B","Hjort","B","Section of Forensic Genetics, Department of Forensic Medicine, Faculty of Health and Medical Sciences, University of Copenhagen, Denmark."
25600397,16,"C","Hollard","C","Institute of Legal Medicine, University of Strasbourg, France."
25600397,17,"P","Hoff-Olsen","P","Department of Forensic Biology, Norwegian Institute of Public Health, Oslo, Norway."
25600397,18,"C","Keyser","C","Institute of Legal Medicine, University of Strasbourg, France."
25600397,19,"A","Kondili","A","Subdivision of Biological and Biochemical Examinations and Analyses, F.S.D., Hellenic Police, Athens, Greece."
25600397,20,"O","Maroñas","O","Genomic Medicine Group, Unit of Forensic Genetics, Institute of Forensic Science, University of Santiago de Compostela, Spain."
25600397,21,"N","McCallum","N","Centre for Forensic Science, Department of Pure and Applied Chemistry, University of Strathclyde, Glasgow, UK."
25600397,22,"P","Miniati","P","Subdivision of Biological and Biochemical Examinations and Analyses, F.S.D., Hellenic Police, Athens, Greece."
25600397,23,"N","Morling","N","Section of Forensic Genetics, Department of Forensic Medicine, Faculty of Health and Medical Sciences, University of Copenhagen, Denmark."
25600397,24,"H","Niederstätter","H","Institute of Legal Medicine, Innsbruck Medical University, Austria."
25600397,25,"F","Noël","F","National Institute for Criminalistics and Criminology, Brussels, Belgium."
25600397,26,"W","Parson","W","Institute of Legal Medicine, Innsbruck Medical University, Austria; Penn State Eberly College of Science, University Park, PA, USA."
25600397,27,"M J","Porto","MJ","Forensic Genetic and Biology Service, National Institute of Legal Medicine and Forensic Sciences, Coimbra, Portugal."
25600397,28,"A D","Roeder","AD","Orchid Cellmark Ltd., Abingdon, UK."
25600397,29,"E","Sauer","E","Institute of Legal Medicine, University of Bonn, Germany."
25600397,30,"P M","Schneider","PM","Institute of Legal Medicine, Faculty of Medicine, University of Cologne, Germany."
25600397,31,"G","Shanthan","G","Department of Forensic Biology, Norwegian Institute of Public Health, Oslo, Norway."
25600397,32,"T","Sijen","T","Department of Human Biological Traces, Netherlands Forensic Institute, The Hague, The Netherlands."
25600397,33,"D","Syndercombe Court","D","Department of Pharmacy and Forensic Science, King's College London, UK."
25600397,34,"M","Turanská","M","Institute of Forensic Science, Slovenska Lupca, Slovakia."
25600397,35,"M","van den Berge","M","Department of Human Biological Traces, Netherlands Forensic Institute, The Hague, The Netherlands."
25600397,36,"M","Vennemann","M","Institute of Legal Medicine, Medical School Hannover, Germany; Institute of Legal Medicine, University of Münster, Germany."
25600397,37,"A","Vidaki","A","Department of Pharmacy and Forensic Science, King's College London, UK."
25600397,38,"L","Zatkalíková","L","Institute of Forensic Science, Slovenska Lupca, Slovakia."
25600397,39,"J","Ballantyne","J","National Center for Forensic Science, University of Central Florida, Orlando, USA."
25622250,1,"Michela","Codini","M","Department of Pharmaceutical Science, University of Perugia, Perugia 06122, Italy. codini@virgilio.it."
25622250,2,"Samuela","Cataldi","S","Department of Pharmaceutical Science, University of Perugia, Perugia 06122, Italy. samuelacataldi@libero.it."
25622250,3,"Francesco Saverio","Ambesi-Impiombato","FS","Department of Clinical and Biological Sciences, University of Udine, Udine 33100, Italy. ambesis@me.com."
25622250,4,"Andrea","Lazzarini","A","Laboratory of Nuclear Lipid BioPathology, CRABiON, Perugia 06122, Italy. andrylazza@gmail.it."
25622250,5,"Alessandro","Floridi","A","Laboratory of Nuclear Lipid BioPathology, CRABiON, Perugia 06122, Italy. info@crabion.it."
25622250,6,"Remo","Lazzarini","R","Laboratory of Nuclear Lipid BioPathology, CRABiON, Perugia 06122, Italy. remo30@libero.it."
25622250,7,"Francesco","Curcio","F","Department of Clinical and Biological Sciences, University of Udine, Udine 33100, Italy. curcio@uniud.it."
25622250,8,"Tommaso","Beccari","T","Department of Pharmaceutical Science, University of Perugia, Perugia 06122, Italy. tommaso.beccari@unipg.it."
25622250,9,"Elisabetta","Albi","E","Laboratory of Nuclear Lipid BioPathology, CRABiON, Perugia 06122, Italy. elisabetta.albi@yahoo.com."
25646974,1,"Takashi","Shinha","T","1 Department of Medicine, Indiana University School of Medicine , Indianapolis, Indiana."
25646974,2,"Deming","Mi","D",""
25646974,3,"Ziyue","Liu","Z",""
25646974,4,"Christie M","Orschell","CM",""
25646974,5,"Michael M","Lederman","MM",""
25646974,6,"Samir K","Gupta","SK",""
25653127,1,"Andrew J","Soulby","AJ","Department of Chemistry, University of Warwick, Coventry, United Kingdom."
25653127,2,"Jack W","Heal","JW",""
25653127,3,"Mark P","Barrow","MP",""
25653127,4,"Rudolf A","Roemer","RA",""
25653127,5,"Peter B","O'Connor","PB",""
25680290,1,"S","Bagés","S","Department of Animal Production - Agrotecnio Centre, University of Lleida, 25198 Lleida, Spain."
25680290,2,"J","Estany","J","Department of Animal Production - Agrotecnio Centre, University of Lleida, 25198 Lleida, Spain."
25680290,3,"M","Tor","M","Department of Animal Production - Agrotecnio Centre, University of Lleida, 25198 Lleida, Spain."
25680290,4,"R N","Pena","RN","Department of Animal Production - Agrotecnio Centre, University of Lleida, 25198 Lleida, Spain. Electronic address: romi.pena@prodan.udl.cat."
25689467,1,"Changhoon","Yoo","C","Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25689467,2,"Dok Hyun","Yoon","DH","Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25689467,3,"Shin","Kim","S","Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25689467,4,"Jooryung","Huh","J","Department of Pathology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25689467,5,"Chan-Sik","Park","CS","Department of Pathology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25689467,6,"Chan-Jeong","Park","CJ","Department of Laboratory Medicine, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25689467,7,"Sang-Wook","Lee","SW","Department of Radiation Oncology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25689467,8,"Cheolwon","Suh","C","Department of Oncology, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea."
25738124,1,"Omid","Sedighi","O","Immunogenetic Research Center, Imam Khomeini Hospital, Mazandaran University of Medical Sciences, Sari, IR Iran."
25738124,2,"Saeid","Abediankenari","S","Immunogenetic Research Center, Imam Khomeini Hospital, Mazandaran University of Medical Sciences, Sari, IR Iran ; Diabetes Research Center, Mazandaran University of Medical Sciences, Sari, IR Iran."
25738124,3,"Batoul","Omranifar","B","Department of Cardiology, Imam Khomeini Hospital, Mazandaran University of Medical Sciences, Sari, IR Iran."
25768100,1,"Mariana Ferreira","Leal","MF","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil; Disciplina de Genética, Departamento de Morfologia e Genética, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,2,"Paulo Santoro","Belangero","PS","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,3,"Eduardo Antônio","Figueiredo","EA","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,4,"Carina","Cohen","C","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,5,"Leonor Casilla","Loyola","LC","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil; Disciplina de Genética, Departamento de Morfologia e Genética, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,6,"Carlos Vicente","Andreoli","CV","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,7,"Marília Cardoso","Smith","MC","Disciplina de Genética, Departamento de Morfologia e Genética, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,8,"Alberto","de Castro Pochini","A","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,9,"Benno","Ejnisman","B","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25768100,10,"Moises","Cohen","M","Departamento de Ortopedia e Traumatologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil."
25773485,1,"Meredith C","Foster","MC","Tufts Medical Center, Boston, MA."
25773485,2,"Lesley A","Inker","LA","Tufts Medical Center, Boston, MA."
25773485,3,"Chi-Yuan","Hsu","CY","University of California, San Francisco, San Francisco, CA."
25773485,4,"John H","Eckfeldt","JH","University of Minnesota, Minneapolis, MN."
25773485,5,"Andrew S","Levey","AS","Tufts Medical Center, Boston, MA."
25773485,6,"Meda E","Pavkov","ME","Centers for Disease Control and Prevention, Atlanta, GA."
25773485,7,"Bryan D","Myers","BD","Stanford University, Stanford, CA."
25773485,8,"Peter H","Bennett","PH","National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Phoenix, AZ."
25773485,9,"Paul L","Kimmel","PL","National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Bethesda, MD."
25773485,10,"Ramachandran S","Vasan","RS","Boston University, Boston, MA."
25773485,11,"Josef","Coresh","J","Johns Hopkins Bloomberg School of Public Health, Baltimore, MD."
25773485,12,"Robert G","Nelson","RG","National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health, Phoenix, AZ. Electronic address: rnelson@nih.gov."
25775354,1,"Zaruhi","Karabekian","Z","Pharmacology and Physiology Department, The George Washington University, School of Medicine and Health Sciences, 2300 Eye Street, Washington DC 20037, USA."
25775354,2,"Sana","Idrees","S",""
25775354,3,"Hao","Ding","H",""
25775354,4,"Aria","Jamshidi","A",""
25775354,5,"Nikki G","Posnack","NG",""
25775354,6,"Narine","Sarvazyan","N",""
25794179,1,"Wuzheng","Zhu","W","College of Life Science and Technology, Southwest University for Nationalities, Chengdu 610041, Peoples' Republic of China."
25794179,2,"Yaqiu","Lin","Y","College of Life Science and Technology, Southwest University for Nationalities, Chengdu 610041, Peoples' Republic of China."
25794179,3,"Honghai","Liao","H","College of Life Science and Technology, Southwest University for Nationalities, Chengdu 610041, Peoples' Republic of China."
25794179,4,"Yong","Wang","Y","College of Life Science and Technology, Southwest University for Nationalities, Chengdu 610041, Peoples' Republic of China."
25894839,1,"Rodrigue S","Allodji","RS","Radiation Epidemiology Group/CESP - Unit 1018 INSERM, Gustave Roussy B2M, 114, rue Edouard Vaillant, 94805, Villejuif Cedex, France, Rodrigue.ALLODJI@gustaveroussy.fr."
25894839,2,"Boris","Schwartz","B",""
25894839,3,"Ibrahima","Diallo","I",""
25894839,4,"Césaire","Agbovon","C",""
25894839,5,"Dominique","Laurier","D",""
25894839,6,"Florent","de Vathaire","F",""
25895496,1,"Joren","Verbeke","J","M-team and Mastitis and Milk Quality Research Unit, Department of Reproduction, Obstetrics and Herd Health, Faculty of Veterinary Medicine, Ghent University, Salisburylaan 133, Merelbeke, Belgium. Joren.Verbeke@UGent.be."
25895496,2,"Mario","Van Poucke","M","Animal Genetics Laboratory, Department of Nutrition, Genetics, and Ethology, Faculty of Veterinary Medicine, Ghent University, Heidestraat 19, Merelbeke, Belgium. Mario.VanPoucke@UGent.be."
25895496,3,"Luc","Peelman","L","Animal Genetics Laboratory, Department of Nutrition, Genetics, and Ethology, Faculty of Veterinary Medicine, Ghent University, Heidestraat 19, Merelbeke, Belgium. Luc.Peelman@UGent.be."
